2022-10-06 16:56:18.417404;1;33
2022-10-06 16:56:23.429513;1;29
2022-10-06 16:56:28.442371;1;25
2022-10-06 16:56:33.451365;1;34
2022-10-06 16:56:38.456929;1;3
2022-10-06 16:56:43.465519;1;26
2022-10-06 16:56:48.468337;1;39
2022-10-06 16:56:53.478023;1;30
2022-10-06 16:56:58.492339;1;27
2022-10-06 16:57:03.495316;1;2
2022-10-06 16:57:08.507851;1;9
2022-10-07 00:18:17.130652;1;17
2022-10-07 00:18:22.134855;1;34
2022-10-07 00:18:27.149192;1;26
2022-10-07 00:18:32.160757;1;25
2022-10-07 00:18:37.163708;1;13
2022-10-07 00:18:42.164929;1;35
2022-10-07 00:18:47.177929;1;8
2022-10-07 00:18:52.181789;1;24
2022-10-07 00:18:57.197678;1;13
2022-10-07 00:19:02.209207;1;19
2022-10-07 00:19:07.216929;1;33
2022-10-07 00:19:12.222796;1;11
2022-10-07 00:19:17.231344;1;2
2022-10-07 00:19:22.235708;1;29
2022-10-07 00:19:27.249717;1;0
2022-10-07 00:19:32.266802;1;37
