2022-10-06 16:56:18.416403;0;35
2022-10-06 16:56:23.429513;0;5
2022-10-06 16:56:28.440369;0;17
2022-10-06 16:56:33.451365;0;25
2022-10-06 16:56:38.455927;0;12
2022-10-06 16:56:43.465519;0;11
2022-10-06 16:56:48.468337;0;25
2022-10-06 16:56:53.478023;0;9
2022-10-06 16:56:58.491339;0;5
2022-10-06 16:57:03.495316;0;7
2022-10-06 16:57:08.507851;0;14
2022-10-07 00:18:17.130652;0;11
2022-10-07 00:18:22.134855;0;23
2022-10-07 00:18:27.149192;0;35
2022-10-07 00:18:32.160757;0;9
2022-10-07 00:18:37.163708;0;39
2022-10-07 00:18:42.164929;0;10
2022-10-07 00:18:47.177929;0;2
2022-10-07 00:18:52.181334;0;34
2022-10-07 00:18:57.196676;0;39
2022-10-07 00:19:02.208204;0;4
2022-10-07 00:19:07.216929;0;32
2022-10-07 00:19:12.220793;0;4
2022-10-07 00:19:17.230338;0;24
2022-10-07 00:19:22.234707;0;30
2022-10-07 00:19:27.249717;0;9
2022-10-07 00:19:32.265800;0;19
